ID,DateTime,CategoryID,CategoryType,Amount,Description
0617b783-62fa-4940-855c-c95bdfcddbaf,2025-04-30 18:01:22,1,EXPENSE,20,""
15212893-68c2-4143-9e3c-000eab986098,2025-04-30 18:01:28,3,EXPENSE,80,""
56e53e72-6923-4035-98d0-63f231c8c520,2025-04-30 18:03:23,8,INCOME,5000,""
7aabd84b-1ab7-42fd-b4bf-131d857c2ca4,2025-04-30 18:40:33,1,EXPENSE,140,""
eaa132c7-b276-4839-a389-6e7c5941a629,2025-04-30 18:46:56,1,EXPENSE,16,""
bf7a5a39-5635-4fe4-8a60-43bbc903e89f,2025-04-30 20:40:51,2,EXPENSE,720,"lulu"
e6289264-2f66-4569-9983-3f13b8b0821a,2025-05-21 20:04:06,4,EXPENSE,1,"1"
e6e529a9-ca57-4aed-85ab-55d0b79e1c50,2025-05-21 20:04:29,3,EXPENSE,12,"122"
8c53374c-981f-4db3-956a-3e8a9c98eb5c,2025-05-21 20:05:32,11,INCOME,1,"1"
0ca1f154-084e-4c2c-a037-dfd8fc83e3aa,2025-05-21 20:05:46,8,INCOME,12,"21"
5a0d93f9-4c5d-448d-b707-27b6091b397b,2025-05-21 20:05:59,8,INCOME,12,"21"
